interactant_id,polypeptide_id
BE0000254,Q9Y478
BE0000350,Q9NR19
BE0000677,Q13131
BE0000269,Q08828
BE0000639,P33121
BE0000958,P16220
BE0000487,Q07343
BE0000007,P06737
BE0001473,P49773
BE0001287,Q08499
BE0002431,P09467
BE0000352,P23109
BE0000115,P07741
BE0000888,O60427
BE0002246,O95864
BE0001023,Q8NER1
BE0000262,P35354
BE0000688,O14842
BE0000071,Q07869
BE0001777,Q96RI1
BE0001007,Q03181
BE0000215,P37231
BE0000412,P19793
BE0009936,Q9NXB9
BE0009375,Q9NYP7
BE0000986,P32418
BE0001821,O15540
BE0000323,P35520
BE0000164,P20132
BE0000388,Q9GZT4
BE0000660,O15270
BE0000441,O15269
BE0000063,P49591
BE0000316,P21549
BE0003654,Q8TF71
BE0000763,Q9UBK8
BE0000734,Q99707
BE0001534,P50579
BE0000845,Q93088
BE0002249,Q9H2M3
BE0000304,P31153
BE0000432,Q9Y3D2
BE0000407,Q00266
BE0000288,Q9NZV6
BE0000170,Q9UJ68
BE0000543,P56192
BE0002248,Q96GW9
BE0002178,Q9NZL9
BE0002249,Q9H2M3
BE0002240,P15104
BE0002176,P42898
BE0003654,Q8TF71
BE0000614,P07101
BE0000363,Q9Y2Z4
BE0000230,P54577
BE0000692,P17735
BE0000178,P36021
BE0003654,Q8TF71
BE0000779,P11473
BE0008987,P31260
BE0002250,Q07973
BE0002638,P08684
BE0001141,P02774
BE0000530,P02768
BE0000030,Q9UPY5
BE0000035,O60931
BE0003654,Q8TF71
BE0002251,P82251
BE0001130,Q07837
BE0000152,P51649
BE0002258,Q9BXA5
BE0002257,Q99643
BE0000176,P31040
BE0000355,Q96I99
BE0009980,P13674
BE0009980,O15460
BE0002195,O60568
BE0002202,Q32P28
BE0002206,Q8IVL5
BE0002208,Q8IVL6
BE0002256,P55809
BE0000528,Q12797
BE0003645,Q8TCC7
BE0002261,Q9UBX3
BE0000022,Q9BZW2
BE0000447,Q13183
BE0000611,Q8WWT9
BE0000370,Q969G6
BE0003327,P0AFU8
BE0000595,P30043
BE0001075,P05164
BE0002198,P21397
BE0002176,P42898
BE0001066,Q4U2R8
BE0000259,P15291
BE0002263,O60513
BE0002265,Q9UJ70
BE0002266,Q9UK23
BE0000391,P54802
BE0000109,P51606
BE0000824,Q13255
BE0000833,Q14833
BE0000827,Q16099
BE0000828,Q16478
BE0000834,Q14831
BE0000835,O00222
BE0002267,O00341
BE0002268,O14841
BE0002235,O15067
BE0000721,O15382
BE0000396,O15399
BE0000825,O94925
BE0000383,P00505
BE0000188,P07814
BE0000219,P08243
