salt_id,drugbank_id,name,unii,cas_number,inchikey,average_mass,monoisotopic_mass
DBSALT001765,DB04398,Sodium lactate,TU7HW0W0QT,72-17-3,NGSFWBMYFKHRBD-UHFFFAOYSA-M,112.0598,112.013638701
DBSALT003591,DB04398,Zinc lactate,2GXR25858Y,16039-53-5,CANRESZKMUPMAE-UHFFFAOYSA-L,243.52,241.97688
DBSALT003589,DB04465,Lactose monohydrate,EWQ57Q8I5X,64044-51-5,,,
DBSALT001335,DB04570,Latamoxef disodium,5APW73W3QZ,64953-12-4,GRIXGZQULWMCLU-HUTAOCTPSA-L,564.44,564.06513592
DBSALT002492,DB04574,Estrone sodium sulfate,6K6FDA543A,438-67-5,VUCAHVBMSFIGAI-ZFINNJDLSA-M,372.411,372.100739147
DBSALT001878,DB04574,Estropipate,SVI38UY019,7280-37-7,HZEQBCVBILBTEP-ZFINNJDLSA-N,436.57,436.203193312
DBSALT002493,DB04574,Potassium estrone sulfate,C354LET0O4,1240-04-6,CUQHOFAEIPGLBH-ZFINNJDLSA-M,388.52,388.07467644
DBSALT001312,DB04711,Iodipamide meglumine,X064O0Y1A4,3521-84-4,DGIAUNUPXILTJW-VRWDCWMNSA-N,1530.197,1529.73335
DBSALT001407,DB04711,Iodipamide sodium,3J6WZA9PXS,2618-26-0,SIZXNBZGPPPFHM-UHFFFAOYSA-L,1183.73,1183.47589
DBSALT002855,DB04813,Bithionolate sodium,66V0139H9A,6385-58-6,FNYZFZRGBBCWBI-UHFFFAOYSA-L,400.0,397.8481499
DBSALT002439,DB04817,Metamizole magnesium,MS15642725,6150-97-6,NHMUJYOBLYTIKO-UHFFFAOYSA-L,645.0,644.15734606
DBSALT000332,DB04817,Metamizole sodium,VSU62Z74ON,68-89-3,DJGAAPFSPWAYTJ-UHFFFAOYSA-M,333.339,333.07592138
DBSALT002438,DB04817,Metamizole sodium monohydrate,6429L0L52Y,5907-38-0,UNZIDPIPYUMVPA-UHFFFAOYSA-M,351.35,351.08648615
DBSALT002894,DB04818,Iproniazid phosphate,8DE00V62TV,305-33-9,YPDVTKJXVHYWFY-UHFFFAOYSA-N,277.217,277.082757625
DBSALT002793,DB04819,Methapyrilene fumarate,KJ5I25TXYL,33032-12-1,GYIUBPDECOMZDC-WLHGVMLRSA-N,377.46,377.140927407
DBSALT000334,DB04819,Methapyrilene hydrochloride,00S42N58OM,135-23-9,BONORRGKLJBGRV-UHFFFAOYSA-N,297.847,297.106646052
DBSALT002854,DB04821,Nomifensine maleate,76S8CUH5MR,32795-47-4,GEOCVSMCLVIOEV-BTJKTKAUSA-N,354.406,354.157957196
DBSALT002252,DB04822,Oxeladin citrate,5AEV5C340C,52432-72-1,KVKJFNUGVOFNGU-UHFFFAOYSA-N,527.611,527.273046524
DBSALT002856,DB04825,Prenylamine lactate,6J3J6SXI7V,69-43-2,QPOFIDVRLWJICD-UHFFFAOYSA-N,419.565,419.246043927
DBSALT002461,DB04828,Zomepirac sodium,Y0185WZ209,64092-49-5,ZJXLSCXDGPDZOL-UHFFFAOYSA-M,349.74,349.0692946
DBSALT000335,DB04828,Zomepirac sodium anhydrous,DA5B6IWF46,64092-48-4,SEEXPXUCHVGZGU-UHFFFAOYSA-M,313.711,313.048165669
DBSALT000336,DB04830,Buformin hydrochloride,D947SXO87P,1190-53-0,KKLWSPPIRBIEOV-UHFFFAOYSA-N,193.678,193.109423244
DBSALT002851,DB04832,Zimelidine hydrochloride,7GLK27586K,60525-15-7,GELMUARXROJGSO-LFMIJCLESA-N,353.69,352.034189
DBSALT000337,DB04834,Rapacuronium bromide,65Q4QDG4KC,156137-99-4,LVQTUXZKLGXYIU-GWSNJHLMSA-M,677.795,676.381471097
DBSALT000803,DB04836,Amineptine hydrochloride,A5P604A12R,30272-08-3,VDPUXONTAVMIKZ-UHFFFAOYSA-N,373.916,373.180856852
DBSALT001414,DB04837,Chlophedianol hydrochloride,69QQ58998Y,511-13-7,XYGSFNHCFFAJPO-UHFFFAOYSA-N,326.26,325.1000197
DBSALT001029,DB04837,Clofedanol hydrochloride,,,,,
DBSALT000370,DB04840,Debrisoquine sulfate,Q94064N9NW,581-88-4,CAYGYVYWRIHZCQ-UHFFFAOYSA-N,448.539,448.189274104
DBSALT000382,DB04841,Flunarizine dihydrochloride,C11102TO53,30484-77-6,RXKMOPXNWTYEHI-RDRKJGRWSA-N,477.417,476.15976073
DBSALT000451,DB04843,Mepenzolate bromide,APX8D32IX1,76-90-4,JRRNZNSGDSFFIR-UHFFFAOYSA-M,420.34,419.10960635
DBSALT002890,DB04846,Celiprolol hydrochloride,G1M3398594,57470-78-7,VKJHTUVLJYWAEY-UHFFFAOYSA-N,415.96,415.2237843
DBSALT003209,DB04854,Febuxostat hemihydrate,7KC4X53ED3,442664-09-7,PBDGWWSMDHCTAJ-UHFFFAOYSA-N,650.77,650.186891799
DBSALT000061,DB04855,Dronedarone hydrochloride,FA36DV299Q,141625-93-6,DWKVCQXJYURSIQ-UHFFFAOYSA-N,593.217,592.273770957
DBSALT001027,DB04861,Nebivolol hydrochloride,JGS34J7L9I,152520-56-4,JWEXHQAEWHKGCW-VCVZPGOSSA-N,441.9,441.1518423
DBSALT001930,DB04865,Omacetaxine mepesuccinate hydrochloride,563OX5661H,457895-79-3,RRNSZQVHVKGKOS-CALFFDBBSA-N,582.09,581.2391596
DBSALT001325,DB04868,Nilotinib hydrochloride monohydrate,5JHU0N1R6K,923288-90-8,YCBPQSYLYYBPDW-UHFFFAOYSA-N,584.0,583.1710353
DBSALT000111,DB04871,Lorcaserin hydrochloride,0QJF08GDPE,846589-98-8,ITIHHRMYZPNGRC-QRPNPIFTSA-N,232.15,231.058154899
DBSALT001583,DB04871,Lorcaserin hydrochloride hemihydrate,REV26SR2B4,856681-05-5,WRZCAWKMTLRWPR-VSODYHHCSA-N,482.31,480.1268745
