ref_pk,drugbank_id,interactant_id
345,DB00030,BE0002433
346,DB00031,
347,DB00031,
348,DB00031,
349,DB00031,
350,DB00031,
351,DB00031,
352,DB00031,
122,DB00031,BE0000211
165,DB00031,BE0000211
123,DB00031,BE0000211
17,DB00031,BE0000211
353,DB00032,BE0000387
354,DB00032,BE0000387
17,DB00032,BE0000387
353,DB00032,BE0000134
354,DB00032,BE0000134
355,DB00033,
356,DB00033,
357,DB00033,
358,DB00033,
359,DB00033,
360,DB00033,
361,DB00033,
362,DB00033,
363,DB00033,
364,DB00033,
365,DB00033,
366,DB00033,BE0000711
367,DB00033,BE0000711
17,DB00033,BE0000711
368,DB00033,BE0000467
367,DB00033,BE0000467
17,DB00033,BE0000467
126,DB00033,BE0002433
369,DB00033,BE0002433
370,DB00034,
109,DB00034,BE0000661
371,DB00034,BE0000661
109,DB00034,BE0000385
371,DB00034,BE0000385
126,DB00034,BE0002433
372,DB00035,
373,DB00035,
374,DB00035,
375,DB00035,
376,DB00035,
377,DB00035,
378,DB00035,
379,DB00035,
380,DB00035,
381,DB00035,BE0000293
382,DB00035,BE0000293
17,DB00035,BE0000293
16,DB00035,BE0000293
383,DB00035,BE0000293
384,DB00035,BE0000293
385,DB00035,BE0000293
386,DB00035,BE0000165
387,DB00035,BE0000165
388,DB00035,BE0000165
389,DB00035,BE0000165
16,DB00035,BE0000165
385,DB00035,BE0000165
384,DB00035,BE0000165
390,DB00035,BE0000165
389,DB00035,BE0000773
391,DB00035,BE0000773
392,DB00035,BE0000773
16,DB00035,BE0000773
383,DB00035,BE0000773
384,DB00035,BE0000773
385,DB00035,BE0000773
16,DB00035,BE0000844
390,DB00035,BE0000844
384,DB00035,BE0000844
393,DB00035,BE0000262
393,DB00035,BE0000017
394,DB00036,
395,DB00036,
396,DB00036,
397,DB00036,
398,DB00036,
399,DB00036,
400,DB00036,
401,DB00036,BE0000216
235,DB00036,BE0000216
402,DB00036,BE0000216
403,DB00036,BE0000216
404,DB00036,BE0000216
402,DB00036,BE0001178
405,DB00036,BE0001178
406,DB00036,BE0001178
407,DB00038,BE0000416
408,DB00038,BE0000416
409,DB00038,BE0000416
410,DB00038,BE0000416
411,DB00038,BE0000416
17,DB00038,BE0000416
412,DB00039,
413,DB00039,
414,DB00039,
415,DB00039,
416,DB00039,BE0000748
