ref_pk,drugbank_id,interactant_id
176,DB00017,BE0000431
17,DB00017,BE0000431
177,DB00018,
109,DB00018,BE0000661
111,DB00018,BE0000661
17,DB00018,BE0000661
109,DB00018,BE0000385
111,DB00018,BE0000385
110,DB00018,BE0000385
17,DB00018,BE0000385
126,DB00018,BE0002433
178,DB00019,
179,DB00019,
180,DB00019,
181,DB00019,
182,DB00019,
183,DB00019,
184,DB00019,
185,DB00019,
186,DB00019,
187,DB00019,
188,DB00019,
189,DB00019,
190,DB00019,
191,DB00019,
192,DB00019,
193,DB00019,
194,DB00019,
195,DB00019,BE0000793
196,DB00019,BE0000793
197,DB00019,BE0000793
198,DB00019,BE0000793
199,DB00019,BE0000793
200,DB00019,BE0000793
201,DB00019,BE0000394
202,DB00019,BE0000394
203,DB00019,BE0000394
204,DB00019,BE0000394
205,DB00019,BE0000394
206,DB00019,BE0000394
207,DB00020,BE0000628
208,DB00020,BE0000628
209,DB00020,BE0000628
210,DB00020,BE0000628
17,DB00020,BE0000628
211,DB00020,BE0001036
212,DB00020,BE0001036
213,DB00020,BE0001036
209,DB00020,BE0001036
214,DB00020,BE0002115
215,DB00020,BE0002116
107,DB00022,
106,DB00022,
108,DB00022,
216,DB00022,
109,DB00022,BE0000661
111,DB00022,BE0000661
110,DB00022,BE0000661
17,DB00022,BE0000661
109,DB00022,BE0000385
111,DB00022,BE0000385
110,DB00022,BE0000385
17,DB00022,BE0000385
16,DB00022,BE0003450
217,DB00022,BE0002433
218,DB00022,BE0002433
219,DB00022,BE0002793
220,DB00022,BE0002793
221,DB00022,BE0002793
222,DB00023,
223,DB00023,
224,DB00023,
225,DB00023,
226,DB00023,
227,DB00023,BE0004798
228,DB00023,BE0004798
229,DB00023,BE0004798
230,DB00024,BE0000490
231,DB00024,BE0000490
17,DB00024,BE0000490
232,DB00025,
233,DB00025,
234,DB00025,
235,DB00025,BE0000216
236,DB00025,BE0000216
237,DB00025,BE0000216
238,DB00025,BE0000216
239,DB00025,BE0000216
240,DB00025,BE0000364
241,DB00025,BE0000364
242,DB00025,BE0000364
243,DB00025,BE0000364
244,DB00025,BE0000364
245,DB00025,BE0001043
246,DB00025,BE0001043
247,DB00025,BE0001043
248,DB00025,BE0001043
249,DB00025,BE0001043
250,DB00025,BE0002117
251,DB00025,BE0002118
252,DB00025,BE0001098
253,DB00025,BE0002109
254,DB00025,BE0002109
252,DB00025,BE0002109
253,DB00025,BE0001011
255,DB00025,BE0001011
254,DB00025,BE0001011
252,DB00025,BE0001011
256,DB00025,BE0002119
257,DB00025,BE0002119
258,DB00025,BE0002110
259,DB00025,BE0002120
260,DB00025,BE0000048
261,DB00025,BE0000048
262,DB00025,BE0000048
263,DB00025,BE0000048
264,DB00025,BE0000048
265,DB00025,BE0000380
17,DB00026,
266,DB00026,
267,DB00026,
268,DB00026,
269,DB00026,
270,DB00026,
271,DB00026,
272,DB00026,
273,DB00026,
274,DB00026,
275,DB00026,
276,DB00026,BE0000565
277,DB00026,BE0000565
278,DB00026,BE0000565
279,DB00026,BE0000565
17,DB00026,BE0000565
280,DB00026,BE0000565
281,DB00026,BE0000565
271,DB00026,BE0000565
282,DB00027,
283,DB00027,
284,DB00027,
16,DB00027,BE0000803
285,DB00027,BE0001032
286,DB00027,BE0001032
287,DB00027,BE0001032
288,DB00028,
289,DB00028,
290,DB00028,
291,DB00028,
292,DB00028,
293,DB00028,
294,DB00028,
295,DB00028,
296,DB00028,
297,DB00028,
298,DB00028,
299,DB00028,
300,DB00028,
301,DB00028,
302,DB00028,
303,DB00028,
304,DB00028,
305,DB00028,
306,DB00028,
307,DB00028,
308,DB00028,
309,DB00028,
289,DB00028,BE0000710
310,DB00028,BE0000710
311,DB00028,BE0000710
289,DB00028,BE0004684
310,DB00028,BE0004684
311,DB00028,BE0004684
289,DB00028,BE0002098
310,DB00028,BE0002098
311,DB00028,BE0002098
289,DB00028,BE0002099
310,DB00028,BE0002099
311,DB00028,BE0002099
289,DB00028,BE0002100
310,DB00028,BE0002100
311,DB00028,BE0002100
289,DB00028,BE0002097
310,DB00028,BE0002097
311,DB00028,BE0002097
289,DB00028,BE0000901
310,DB00028,BE0000901
311,DB00028,BE0000901
310,DB00028,BE0003455
311,DB00028,BE0003455
289,DB00028,BE0003455
310,DB00028,BE0004685
311,DB00028,BE0004685
289,DB00028,BE0004685
310,DB00028,BE0004686
311,DB00028,BE0004686
289,DB00028,BE0004686
310,DB00028,BE0000855
311,DB00028,BE0000855
289,DB00028,BE0000855
122,DB00029,BE0000211
165,DB00029,BE0000211
123,DB00029,BE0000211
17,DB00029,BE0000211
312,DB00029,BE0000538
313,DB00029,BE0000538
123,DB00029,BE0000240
314,DB00030,
315,DB00030,
316,DB00030,
317,DB00030,
318,DB00030,
319,DB00030,
320,DB00030,
321,DB00030,
322,DB00030,
323,DB00030,BE0000033
324,DB00030,BE0000033
325,DB00030,BE0000033
326,DB00030,BE0000033
327,DB00030,BE0000033
17,DB00030,BE0000033
328,DB00030,BE0000033
329,DB00030,BE0000858
330,DB00030,BE0000858
331,DB00030,BE0000858
332,DB00030,BE0000858
333,DB00030,BE0000858
334,DB00030,BE0001123
335,DB00030,BE0001147
336,DB00030,BE0000942
337,DB00030,BE0002126
338,DB00030,BE0001183
339,DB00030,BE0001183
340,DB00030,BE0001183
341,DB00030,BE0002124
342,DB00030,BE0002125
343,DB00030,BE0002433
344,DB00030,BE0002433
