reaction_id,drugbank_id,sequence,left_element_id,left_element_name,right_element_id,right_element_name,enzymes
3427,DB11363,1,DB11363,Alectinib,DBMET02145,M6 (Alectinib),
3428,DB11363,1,DB11363,Alectinib,DBMET02146,M1a (Alectinib),
3429,DB11363,1,DB11363,Alectinib,DBMET02147,M1b (Alectinib),
3430,DB11365,1,DB11365,Sennosides,DBMET01449,Sennidin A,
3431,DB11365,2,DBMET01449,Sennidin A,DBMET01450,Rheinanthrone,
3432,DB11365,3,DBMET01450,Rheinanthrone,DBMET01451,Rhein,
3441,DB11431,1,DB11431,Moxidectin,DBMET02120,Monohydroxy metabolite of moxidectin at C29,BE0004866|Cytochrome P450 3A Subfamily|P08684||BE0001052|Cytochrome P450|Q14097
3442,DB11431,1,DB11431,Moxidectin,DBMET02119,Monohydroxy metabolite of moxidectin at the C14,BE0004866|Cytochrome P450 3A Subfamily|P08684||BE0001052|Cytochrome P450|Q14097
3443,DB11482,1,DB11482,Balsam of Peru,DB06770,Benzyl alcohol,
3444,DB11482,2,DB06770,Benzyl alcohol,DBMET01437,Benzoic acid,
3445,DB11482,3,DBMET01437,Benzoic acid,DBMET00507,Hippuric acid,
3449,DB11581,1,DB11581,Venetoclax,DBMET01433,M27,BE0002638|Cytochrome P450 3A4|P08684
3452,DB11586,1,DB11586,Asunaprevir,DBMET02048,Asunaprevir M8,
3453,DB11586,1,DB11586,Asunaprevir,DBMET02049,Asunaprevir M10,
3454,DB11586,1,DB11586,Asunaprevir,DBMET02050,BMS-798430,
3455,DB11586,1,DB11586,Asunaprevir,DBMET02052,Asunaprevir M2,
3456,DB11586,2,DBMET02050,BMS-798430,DBMET02051,BMS-558364,
3457,DB11596,1,DB11596,Levoleucovorin,DBMET00528,5-Methyltetrahydrofolate,
3458,DB11632,1,DB11632,Opicapone,DBMET03236,BIA 9-1103,
3459,DB11632,1,DB11632,Opicapone,DBMET03237,BIA 9-1104,
3460,DB11632,1,DB11632,Opicapone,DBMET03238,BIA 9-1100,
3461,DB11632,1,DB11632,Opicapone,DBMET03239,BIA 9-1079,
3462,DB11632,1,DB11632,Opicapone,DBMET03240,BIA 9-1101,
3463,DB11632,1,DB11632,Opicapone,DBMET03241,BIA 9-1106,
3464,DB11635,1,DB11635,Tocofersolan,DB00163,Vitamin E,BE0004727|Cytochrome P450 4F2|P78329
3465,DB11637,1,DB11637,Delamanid,DBMET01965,DM-6705,BE0000530|Albumin|P02768
3466,DB11637,2,DBMET01965,DM-6705,DBMET01966,"(4RS,5S)-DM-6720",BE0002638|Cytochrome P450 3A4|P08684||BE0003543|Cytochrome P450 1A1|P04798||BE0002363|Cytochrome P450 2D6|P10635||BE0003533|Cytochrome P450 2E1|P05181
3467,DB11637,2,DBMET01965,DM-6705,DBMET01968,DM-6704,BE0002638|Cytochrome P450 3A4|P08684
3468,DB11637,2,DBMET01965,DM-6705,DBMET01972,DM-6706,
3469,DB11637,3,DBMET01966,"(4RS,5S)-DM-6720",DBMET01967,(S)-DM-6718,BE0002638|Cytochrome P450 3A4|P08684||BE0003543|Cytochrome P450 1A1|P04798
3470,DB11637,3,DBMET01968,DM-6704,DBMET01969,"(4R,5S)-DM-6721",BE0002638|Cytochrome P450 3A4|P08684
3471,DB11637,3,DBMET01968,DM-6704,DBMET01970,"(4S,5S)-DM-6722",BE0002638|Cytochrome P450 3A4|P08684
3472,DB11637,4,DBMET01969,"(4R,5S)-DM-6721",DBMET01971,(S)-DM-6717,BE0002638|Cytochrome P450 3A4|P08684
3473,DB11637,4,DBMET01970,"(4S,5S)-DM-6722",DBMET01971,(S)-DM-6717,BE0002638|Cytochrome P450 3A4|P08684
3474,DB11638,1,DB11638,Artenimol,DBMET01913,α-artenimol-β-glucuronide,BE0003538|UDP-glucuronosyltransferase 1A9|O60656||BE0003679|UDP-glucuronosyltransferase 2B7|P16662
3475,DB11640,1,DB11640,Amifampridine,DBMET02121,3-N-acetylamifampridine,BE0003607|Arylamine N-acetyltransferase 2|P11245||BE0003608|Arylamine N-acetyltransferase 1|P18440
3476,DB11641,1,DB11641,Vinflunine,DBMET02055,4-O-deacetylvinflunine,
3477,DB11642,1,DB11642,Pitolisant,DBMET03080,BP2.941,BE0002363|Cytochrome P450 2D6|P10635||BE0002638|Cytochrome P450 3A4|P08684
3478,DB11642,1,DB11642,Pitolisant,DBMET03081,BP2.951,BE0002363|Cytochrome P450 2D6|P10635||BE0002638|Cytochrome P450 3A4|P08684
3479,DB11660,1,DB11660,Latanoprostene bunod,DBMET02011,Butanediol mononitrate,BE0004740|Carboxylesterase|Q6LAP9
3480,DB11660,1,DB11660,Latanoprostene bunod,DB00654,Latanoprost,BE0004740|Carboxylesterase|Q6LAP9
